Person_ID	Date	Company	Amount
1	3/27/2016	Enterprise GP Holdings	100
1	5/23/2016	The Dow Chemical Company	100000
1	3/5/2016	Walgreen Company	9760
1	9/24/2016	United Services Automobile Association	300
1	11/26/2016	Fluor Corporation	4500
1	10/5/2016	Wells Fargo & Company	200
1	11/3/2016	Johnson & Johnson	1000
1	6/8/2016	Southern Company	300
1	5/12/2016	AmerisourceBergen Corporation	9760
1	2/11/2016	CIGNA Corporation	9760
1	2/9/2016	Merck & Co Inc	200
1	5/22/2016	GMAC	1000
1	11/22/2016	Intel Corporation	200
1	2/14/2016	Capital One Financial Corp	300
1	2/27/2016	General Motors Corporation	200
1	2/28/2016	Liberty Mutual	75000
1	8/13/2016	The Boeing Company	1500
1	9/17/2016	Enterprise GP Holdings	4500
1	10/21/2016	Apple Computer, Inc	2500
1	10/14/2016	AmerisourceBergen Corporation	500
1	3/17/2016	L-3 Communications Hldgs.	800
1	10/11/2016	FPL Group Inc	9760
1	3/6/2016	Caterpillar Inc.	8350
1	9/16/2016	L-3 Communications Hldgs.	750
1	10/15/2016	FPL Group Inc	1200
1	1/18/2016	HCA Inc.	9760
1	12/24/2016	Northrop Grumman Corporation	2500
1	1/3/2016	L-3 Communications Hldgs.	200
1	2/26/2016	FPL Group Inc	8000
1	3/24/2016	CIGNA Corporation	8350
1	11/24/2016	Eli Lilly and Co	8000
1	11/22/2016	Time Warner Inc.	9760
1	1/23/2016	Fluor Corporation	1000
1	7/18/2016	Southern Company	1200
1	12/23/2016	International Paper Company	10000
1	10/7/2016	International Assets Holding	1000
1	12/19/2016	FedEx Corporation	8350
1	7/1/2016	Computer Sciences Corporation	500
1	1/20/2016	Liberty Mutual	300
1	11/9/2016	Johnson & Johnson	2500
1	10/2/2016	Verizon Communications	9000
1	2/13/2016	Coca-Cola Enterprises	5400
1	6/10/2016	Berkshire Hathaway	5400
1	10/7/2016	Capital One Financial Corp	1000
1	8/3/2016	Rite Aid Corporation	100000
1	3/16/2016	Occidental Petroleum Corp	2500
1	8/9/2016	L-3 Communications Hldgs.	2500
1	9/17/2016	The Kroger Co	5400
1	3/3/2016	Tech Data Corporation	4500
1	3/21/2016	Kohl's Corporation	1000
1	5/18/2016	Rite Aid Corporation	2500
1	11/6/2016	The Walt Disney Company	500
1	2/21/2016	Microsoft Corporation	800
1	1/16/2016	General Dynamics Corporation	1500
1	10/27/2016	American Airlines - AMR	1500
1	3/9/2016	Amerada Hess Corporation	2500
1	7/18/2016	Verizon Communications	200
1	10/15/2016	International Business Machines Corporation	5400
1	8/12/2016	Ingram Micro	8000
1	1/14/2016	Dell, Inc	10000
1	5/3/2016	Hartford Financial Services Group	8000
1	5/19/2016	American Express Company	75000
1	11/6/2016	3M Company	1200
1	12/24/2016	AFLAC Incorporated	200
1	7/11/2016	Microsoft Corporation	8350
1	12/19/2016	Safeway Inc.	1500
1	10/21/2016	MassMutual Financial Group	500
1	7/2/2016	United Technologies Corporation	100000
1	2/14/2016	Nationwide Mutual Insurance Co	900
1	6/3/2016	ChevronTexaco Corporation	750
1	4/26/2016	Nationwide Mutual Insurance Co	300
1	9/17/2016	Exelon Corporation	800
1	8/10/2016	United Parcel Service of America, Inc	200
1	8/26/2016	Archer-Daniels-Midland Company	2500
1	3/9/2016	Hartford Financial Services Group	1500
1	5/16/2016	Constellation Energy Group	200
1	3/2/2016	Deere & Company	9760
1	6/10/2016	Coca-Cola Enterprises	4500
1	3/20/2016	The Dow Chemical Company	1000
1	10/14/2016	Abbott Laboratories	8350
